name,date_of_birth,height,weight
Daniel Cousin,1977-02-07,186.0,85.0
Jason Brown,1982-05-18,180.0,98.0
Andy Webster,1982-04-23,182.0,63.0
Isaiah Osbourne,1987-11-15,188.0,79.0
Ben Hutchinson,1987-11-27,180.0,79.0
Louis Elliott Moult,1992-05-14,183.0,85.0
Nicky Law,1988-03-29,178.0,73.0
Leigh Griffiths,1990-08-20,180.0,76.0
Matt Doherty,1992-01-16,185.0,80.0
John Guidetti,1992-04-15,185.0,79.0
Alan O'Brien,1985-02-20,178.0,71.0
Madjid Bougherra,1982-10-07,190.0,93.0
Temitope Obadeyi,1989-10-29,190.0,87.0
Josh Walker,1989-02-21,181.0,76.0
Josh Morris,1991-09-30,180.0,70.0
Aaron Doran,1991-05-13,170.0,76.0
Rade Prica,1980-06-30,185.0,80.0
Nathan Eccleston,1990-12-30,178.0,66.0
Martin Hansen,1990-06-15,188.0,85.0
Jon Routledge,1989-11-23,181.0,86.0
Jonathan Franks,1990-04-08,175.0,73.0
Andreas Evald Cornelius,1993-03-16,193.0,91.0
Maurice Edu,1986-04-18,180.0,85.0
Cristian Gamboa Luna,1989-10-24,175.0,67.0
Ryan Inniss,1995-06-05,197.0,82.0
Jak Alnwick,1993-06-17,187.0,82.0
David Cornell,1991-03-28,180.0,73.0
Fraser Fyvie,1993-03-27,172.0,60.0
Jordan Rossiter,1997-03-24,178.0,68.0
Thomas Robson,1995-09-11,178.0,75.0
Joe Dodoo,1995-06-29,183.0,70.0
Patrick Roberts,1997-02-05,167.0,58.0
Tommie Hoban,1994-01-24,189.0,84.0
Francisco Santos Júnior,1992-01-18,172.0,65.0
Matthew Kennedy,1994-11-01,175.0,68.0
Martin Samuelsen,1997-04-17,189.0,72.0
Kyle Andy P. Knoyle,1996-09-24,173.0,63.0
Dominic Ball,1995-08-02,184.0,75.0
Matt Macey,1994-09-09,201.0,96.0
Baily Cargill,1995-07-05,189.0,87.0
Kevin Mbabu,1995-04-19,184.0,83.0
Adam Morgan,1994-04-21,179.0,71.0
Freddie Woodman,1997-03-04,188.0,83.0
Connor Steven Randall,1995-10-21,180.0,76.0
Steve De Ridder,1987-02-25,178.0,73.0
Oluwaseyi Babajide Ojo,1997-06-19,177.0,64.0
Adam Campbell,1995-01-01,169.0,73.0
Russell Griffiths,1996-04-13,188.0,85.0
Cameron Borthwick-Jackson,1997-02-02,190.0,78.0
Tom Lawrence,1994-01-13,180.0,75.0
Sean Goss,1995-10-01,179.0,74.0
Adil Nabi,1994-02-28,175.0,68.0
Mikael Mandron,1994-10-11,191.0,82.0
Jo Inge Berget,1990-09-11,184.0,78.0
Guillermo Varela Olivera,1993-03-24,173.0,73.0
Matt Butcher,1997-05-14,188.0,83.0
William Vitved Kvist Jørgensen,1985-02-24,184.0,80.0
Dame N'Doye,1985-02-21,186.0,81.0
Michael Doughty,1992-11-20,186.0,88.0
Ryan Fulton,1996-05-23,191.0,80.0
Larnell Cole,1993-03-09,168.0,66.0
James Horsfield,1995-11-30,178.0,70.0
Curtis Good,1993-03-23,187.0,85.0
Jordan Archer,1993-04-12,186.0,80.0
Kemar Roofe,1993-01-06,178.0,65.0
Daniel Barlaser,1997-01-18,184.0,62.0
Doneil Henry,1993-04-20,188.0,82.0
Joe Rothwell,1995-01-11,185.0,77.0
Rhys Healey,1994-12-06,180.0,72.0
Thomas James,1996-04-15,180.0,65.0
George Christopher Williams,1995-09-07,172.0,73.0
